municipality,start_date,station,railway,branch
"ÁguasdaPrata,SP",01.10.1886,ÁGUASDAPRATA(antigaPRATA),Cia.MogianadeEstradasdeFerro(1886-1971)FEPASA(1971-1998),"Ramal de Caldaskm 42,452"
"Altinópolis,SP",c.1910,ÁGUASVIRTUOSAS,E.F.SãoPaulo-Minas(c.1910-1971)FEPASA(1971-c.1990),"Linha-tronco originalkm 46,000             (1960)"
"Cotia,SP",24.05.1931,AGUASSAÍ,E.F.Sorocabana(1931-1971)FEPASA(1971-1998),"Mairinque-Santoskm 21,186 (1937)"
"Agudos,SP",07.12.1903,AGUDOSPAULISTA,Cia.PaulistadeEstradasdeFerro(1903-1966),"Ramal de Agudos originalkm 93,551"
"Agudos,SP",25.09.1903,AGUDOS,Cia.UniãoSorocabanaeYtuana(1903-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-1998),"Ramal de Baurukm 398,038 (1931)"
"Bauru,SP",24.02.1928,AIMORÉS,Cia.PaulistadeEstradasdeFerro(1928-1971)FEPASA(1971-1998),"Ramal de Baurukm 28,800"
"RioClaro,SP",15.10.1884,AJAPI(antigaMORROGRANDE),Cia.PaulistadeEstradasdeFerro(1896-1892)Cia.Rioclarense(1892-1966),"E. F. Rioclarensekm 14,290"
"Piratininga(1924-),SP",09.02.1924,ALBA(antigaAMÉRICA),Cia.PaulistadeEstradasdeFerro(1924-1971)FEPASA(1971-1976),"Ramal de Agudos original km123,107tronco oestekm 360,772 (1957)"
"Jaboticabal,SP",n/d,ALBANIA,E.F.Jaboticabal(n/d-1951)Cia.PaulistadeEstradasdeFerro(1951-1966),Ramal de Luzitaniakm
"Barretos,SP",14.07.1926,AMOREIRA(antigaALBERTOMOREIRA),Cia.PaulistadeEstradasdeFerro(1926-1971)FEPASA(1971-1998),"Linha-troncokm 470,626 (1958)"
"Paulínia,SP",1973,ALÇA,FEPASA(1973-1998),"Variante Boa Vista-Guedeskm 273,108 (1994)"
"Botucatu,SP",1924,ALCANTIS,E.F.Sorocabana(1924-1954),"Linha-tronco originalkm 299,462             (1924); km 287,770 (1931);"
"Bauru,SP",10.05.1976,ALDEIA(antigoPÁTIO2ePOSTOKM373),FEPASA(1976-1998),Variante Bauru-Garçakm             373
"ItapeciricadaSerra,SP",11.06.1932,ALDEINHA,E.F.Sorocabana(1932-1971)FEPASA(1971-1998),"Mairinque-Santoskm 50,000 (1934)"
"Santos,SP",06.10.1920,ALEMOA,SãoPauloRailway(1920-1946)E.F.Santos-Jundiaí(1946-1975)RFFSA(1975-1996),"Linha-troncokm 3,104 (1935)"
"SantoAntoniodePosse,SP",03.10.1915,ALFA,Cia.MogianadeEstradasdeFerro(1915-1961),"Linha-tronco originalkm 56,606"
"Guaxupé,MG",1912?,ALFA(DEGUAXUPÉ),Cia.MogianadeEstradasdeFerro(1912?-1971)FEPASA(1971-c.1990),Ramal de Guaxupé km
"Amparo,SP",15.12.1889,ALFERESRODRIGUES,Cia.MogianadeEstradasdeFerro(1889-1956),"Ramal de Serra Negrakm 9,487"
"SãoCarlos,SP",01.10.1906,ALFREDOELLIS,Cia.PaulistadeEstradasdeFerro(1906-1962),"Ramal de Água Vermelhakm 54,729"
"LençóisPaulista,SP",07.09.1898,ALFREDOGUEDES(antigaAREIABRANCA),Cia.UniãoSorocabanaeYtuana(1898-1905)E.F.Sorocabana(1905-1971)FEPASA(1971-1998),"Ramal de Baurukm 360,841 (1934)"
"Itapeva,SP",01.1927,ALFREDONUNES(antigaTAQUARI),EstradadeFerroSorocabana(1927-1971)FEPASA(1971-1998),"Ramal de Itararékm 348,259 (1931)"
"MurutingadoSul,SP",10.07.1937,MURUTINGA(antigaALGODOAL),E.F.NoroestedoBrasil(1937-1975)RFFSA(1975-1996),"Variante de Jupiákm 123,780             (1937);Linha-troncokm 404,780 (1949)"
"Altair,SP",06.1931,ALTAIR(antigaINVERNADA),Cia.FerroviáriaSãoPaulo-Goiaz(1931-1950)Cia.PaulistadeEstradasdeFerro(1950-1969),"Linha-tronco SPGkm 106,914Ramal de Nova Granadakm 106,914"
"Altinópolis,SP",1909,ALTINÓPOLIS(antigaMATOGROSSODEBATATAIS),E.F.SãoPaulo-Minas(1909-1971)FEPASA(1971-1998),Linha-tronco originalkm 76 (1938)
"RibeirãoPreto,SP",09.08.1911,ALTO,Cia.MogianadeEstradasdeFerro(1911-1971)FEPASA(1971-1979),"Linha-tronco originalkm 320,816             (1938)"
"BentodeAbreu,SP",01.08.1930,BENTODEABREU(antigaDIABASEeALTOPIMENTA),E.F.NoroestedoBrasil(1930-1975)RFFSA(1975-1996),"Variante de Jupiákm 52,500             (1937)Linha-troncokm 333,500 (1949)"
"Alumínio,SP",1899,ALUMÍNIO(antigaRODOVALHO),Cia.UniãoSorocabanaeYtuana(1899-1905)E.F.Sorocabana(1905-1971)FEPASA(1971-1998),"Linha-troncokm 79,114 (1931)"
"Serrana,SP",01.06.1910,ALVARENGA,Cia.MogianadeEstradasdeFerro(1910-1956),"Ramal de Cravinhoskm 20,387             (1937)"
"ÁlvaresMachado,SP",26.02.1919,ALVARESMACHADO,E.F.Sorocabana(1919-1971)FEPASA(1971-1998),"Linha-tronco originalkm 812,710             (1924); km 799,722 (1931) (*); km 751,789 (1960) (**)"
"Jaboticabal,SP",n/d,ALVESLIMA,E.F.Jaboticabal(n/d-1951)Cia.PaulistadeEstradasdeFerro(1951-1966),Ramal de Luzitaniakm
"Olímpia,SP",02.1914,ALVORA,Cia.E.F.SãoPaulo-Goiaz(1914-1916)Cia.FerroviáriaSãoPaulo-Goiaz(1916-1950)Cia.PaulistadeEstradasdeFerro(1950-1969),"Linha-tronco SPGkm 60,306"
"Cotia,SP(1922-53)MunicípiodeItapevi,SP(1953-85)",08.05.1922,AMADORBUENO(antigaFERNÃODIAS),E.F.Sorocabana(1922-1971)FEPASA(1971-1985),"Linha-troncokm 42,624 (1931)"
"Itapevi,SP",21.06.1985,AMADORBUENO-NOVA,FEPASA(1985-1994)CPTM(1994-2010)e(2014-),"Linha-troncokm 42,624"
"SantaRosadeViterbo,SP(vejaafazenda)",c.1908,AMÁLIA,E.F.SantosDumont(1908-1909)Cia.MogianadeEstradasdeFerro(1909-1967),"Ramal de Cajuru km 22,173 (1937)"
"Itapevi,SP",19.09.1949,AMBUITÁ(antigaIRACEMA),E.F.Sorocabana(1949-1971)FEPASA(1971-1994)CPTM(1994-2010),"Linha-tronco km 40,070 (1960)"
,27.08.1875,"AMERICANA(antigaSANTABÁRBARAeVILLAAMERICANA)MunicípiosdeCampinas(1875-1924)VillaAmericana(1924-1939)Americana(1939-),SP",Cia.PaulistadeEstradasdeFerro(1875-1971)FEPASA(1971-1998),"Linha-tronco- km 81,959 (1958)"
"Tatuí,SP",1912,AMERICANA-VELHA,SorocabanaRailway(1912-1919)E.F.Sorocabana(1919-1928),Ramal de Itararé originalkm
"AméricoBrasiliense,SP",01.04.1892,AMÉRICOBRASILIENSE,Cia.PaulistadeEstradasdeFerro(1892-1971)FEPASA(1971-1998),"Linha-troncokm 265,442 (1958)"
"Amparo,SP",15.11.1875,AMPARO,Cia.MogianadeEstradasdeFerro(1875-1967),"Ramal de Amparo- km 29,823 (1938)"
"Santos,SP",22.12.1913,ANACOSTA(SANTOS-EFS),SouthernSãoPauloRailway(1913-1927)E.F.Sorocabana(1927-1971)FEPASA(1971-1998),"Mairinque-Santoskm 126,925 (1960)"
"Itariri,SP(vejaobairro)",08.11.1914,ANADIAS,SouthernSãoPauloRailway(1914-1927)E.F.Sorocabana(1927-1971)FEPASA(1971-1998),"Ramal de Juquiá- km 183,913             (1960)"
"Analândia,SP",15.10.1884,ANALÂNDIA(antigaANÁPOLIS),Cia.Rio-Clarense(1884-1888)RioClaroRailway(1888-1892)Cia.PaulistadeEstradasdeFerro(1892-1966),"Ramal de Analândiakm 40,613"
"Bebedouro,SP",29.12.1902,ANDES,Cia.PaulistadeEstradasdeFerro(1902-1966),"Ramal de Jaboticabalkm 102,77 (1959)"
"Avaré,SP",1895,ANDRADAESILVA(antigaANDRADES)(emmemóriadeLafaieteGuerreiro(1954-2001),Cia.UniãoSorocabanaeYtuana(1895-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1953),"Linha-tronco original km 363,318 (1924);             km 351,135 (1934) (*)"
"Andradina,SP",11.07.1937,ANDRADINA,E.F.NoroestedoBrasil(1937-1975)RFFSA(1975-1996),"Variante de Jupiá- km 141,700             (1937)Linha-tronco- km 408,541 (1960)"
"Andradina,SP",25.09.1992,ANDRADINA-NOVA,RFFSA(1992-1996),"Linha-tronco km 373,700 (1992)"
"Angatuba,SP",01.05.1913,ANGATUBA,SorocabanaRailway(1913-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-1998),"Ramal de Itararékm 244,412             (1934)"
"Lorena,SP",1903,ANGELINA,E.F.Lorena-Benfica(1903-1921)E.F.CentraldoBrasil(1921-1975)RFFSA(1975-c.1985),"Ramal de Piquete km 288,821"
"SãoCarlos,SP",10.05.1894,ANGICO,Cia.PaulistadeEstradasdeFerro(1894-1969),"Ramal de Ribeirão Bonito km 8,101"
"Araçatuba,SP",01.05.1909,ANHANGAÍ,E.F.NoroestedoBrasil(1909-1961),"Linha-tronco originalkm 339,815Ramal de Lussanvirakm 59,405"
"Campinas,SP",14.03.1991,ANHANGÜERA,Fepasa(1991-1995),"VLT km 5,935"
"Campinas,SP",03.05.1875,ANHUMAS,Cia.MogianadeEstradasdeFerro(1875-1926),Linha-tronco originalkm 10
"Campinas,SP",12.10.1926,ANHUMAS(NOVA),Cia.MogianadeEstradasdeFerro(1926-1971)FEPASA(1971-1977)V.F.Campinas-Jaguariúna(1977-),"VarianteGuanabara-Guedeskm 9,545"
"Boituva,SP",02.03.1908,ANÍSIODEMORAIS(antigaCHAVEPAINEIRAS),E.F.Sorocabana(1908-1971)FEPASA(1971-1998),"Linha-tronco km 155,977"
"Barueri,SP",18.03.1941,ANTONIOJOÃO,E.F.Sorocabana(1941-1971)FEPASA(1971-1994)CPTM(1994-),"Linha-troncokm 24,800 (1960)"
"Altinópolis,SP",1924,ANTONIOJUSTINO(antigaSAPÉ),E.F.SãoPaulo-Minas(1924-1971)FEPASA(1971-1998),"Linha-tronco originalkm 102,950             (1937)"
"Aparecida,SP",08.07.1877,APARECIDA,E.F.doNorte(1877-1890)E.F.CentraldoBrasil(1890-1975)RFFSA(1975-1997),"Ramal de São Paulokm             298,108 (1928)"
"Apiaí,SP",05.1973,APIAÍ,FEPASA(1973-1998)ALL(1999-2001),"Ramal de Apiaí km 415,385"
"Botucatu,SP",22.04.1952,APUÃS,E.F.Sorocabana(1952-1971)FEPASA(1971-1998),"Variante Juquiratiba-Botucatukm 254,300             (1960)"
"OuroVerde,SP",20/01/1962,ARABELA,Cia.PaulistadeEstradasdeFerro(c.1961-1971)FEPASA(1971-1998),"Linha-tronco oeste- km 695,733"
"Buri,SP",16.10.1908,ARACAÇU,SorocabanaRailway(1908-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-1998),"Ramal de Itararékm 271,690 (1931)"
"Araçatuba,SP",01.05.1909,ARACANGUÁ,E.F.NoroestedoBrasil(1909-1961),"Linha-tronco originalkm 321,255Ramal de Lussanvirakm 40,941"
"Itaquaquecetuba,SP",07.04.1950?,ARACARÉ,E.F.CentraldoBrasil(1950?-1975)RFFSA(1975-1994)CPTM(1994-),"Variante de Poákm 468,422"
"Araçatuba,SP",02.12.1908,ARAÇATUBA(primeiraestação),E.F.NoroestedoBrasil(1908-1922),"Linha-troncokm 280,225 (1937)"
"Araçatuba,SP",1922,ARAÇATUBA(segundaestação),E.F.NoroestedoBrasil(1922-1963),"Linha-troncokm 280,225 (1949)"
"Araçatuba,SP",31.12.1963,ARAÇATUBA(terceiraestação),E.F.NoroestedoBrasil(1963-1975)RFFSA(1975-1992),Linha-troncokm
"Araçatuba,SP",1992,ARAÇATUBA(quartaestação),RFFSA(1992-1996),Linha-troncokm 237 (1992)
"Ituverava,SP",1919,ARACÊ,Cia.MogianadeEstradasdeFerro(1919-1962),"Ramal de Igarapavakm 103,400"
"Aramina,SP",01.03.1905,ARAMINA,Cia.MogianadeEstradasdeFerro(1905-1971)FEPASA(1971-1979),"Ramal de Igarapavakm 147,912             (1938)"
"Aramina,SP",1979,ARAMINA-NOVA,FEPASA(1979-1998),"Variante Entroncamento-Amoroso Costakm 436,000 (1986)"
"Cravinhos,SP",01.06.1910,ARANTES,Cia.MogianadeEstradasdeFerro(1910-1956),"Ramal de Jandaiakm 15,469"
"Botucatu,SP",1893,ARAQUÁ(antigaREDENÇÃO),Cia.Ytuana(1883-1892)Cia.UniãoSorocabanaeYtuana(1892-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1954),"Ramal de Araquákm 313,010             (1924); km 301,294 (1931); km 307 (1953)"
"SãoCarlos,SP",02.09.1892,ARARAÍ,Cia.PaulistadeEstradasdeFerro(1892-1962),"Ramal de Água Vermelhakm 50,360"
"Araraquara,SP",18.01.1885,ARARAQUARA,Cia.Rio-Clarense(1885-1889)RioClaroRailway(1889-1892)Cia.PaulistadeEstradasdeFerro(1892-1971)FEPASA(1971-1998),"Linha-troncokm 253,767 (1958)"
"Araras,SP(vejaacidade)",10.04.1877,ARARAS,Cia.PaulistadeEstradasdeFerro(1877-1971)FEPASA(1971-1998),"Ramal de Descalvadokm 134,515"
"Avaí,SP",15.11.1921,ARARIBÁ,E.F.NoroestedoBrasil(1921-1975)RFFSA(1975-1996),"Linha-troncokm 48,954 (1949)"
"Tabatinga,SP",22.02.1929,ARARUBA,E.F.Araraquara(1929-1960),"Ramal de Tabatingakm 32,304"
"Amparo,SP",15.11.1875,ARCADAS(antigaCOQUEIROS),Cia.MogianadeEstradasdeFerro(1875-1967),"Ramal de Amparo- km 19,511 (1937)"
"Cubatão,SP",17.11.1897,AREAIS,SãoPauloRailway(1897-1946)E.F.Santos-Jundiaí(1946-?),"Linha-troncokm 16,400 (1935)"
"SãoPaulo,SP",06.1916,AREAL(antigaPARADA3),Cia.Cantareira(1916-1941)E.F.Sorocabana(1941-1965),"Linha-troncokm 2,788 (1960)"
"Piracaia,SP",01.02.1914,ARPUÍ,E.F.Bragantina(1914-1967),"Ramal de Piracaia km 26,087"
"Piracicaba,SP",26.05.1887,ARTEMIS(antigaJOÃOALFREDO),Cia.Ytuana(1887-1892)Cia.UniãoSorocabanaeYtuana(1892-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1961),"Ramal de Artemiskm 261,118 (1934)"
"SãoPaulo,SP",19.08.1921,ARTURALVIM,E.F.CentraldoBrasil(1921-1975)RFFSA(1975-1983)CBTU(1983-1992)CPTM(1992-2000),"Ramal de São Paulokm             484,574"
"ArturNogueira,SP",01.1907,ARTURNOGUEIRA,Cia.CarrilFunilense(1907-1921)E.F.Sorocabana(1921-1960),Linha-tronco da Funilensekm
"Assis,SP",1914,ASSIS,E.F.Sorocabana(1915-1971)FEPASA(1971-1998),"Linha-tronco originalkm 614,317             (1924); km 601,411 (1931) (*); km 553,478 (1960) (**)"
"Aguaí,SP",05.07.1912,ASTRAPEIA,Cia.MogianadeEstradasdeFerro(1912-1961),"Linha-tronco original- km 118,147"
"Bebedouro,SP",05/1911,ATALAIA,Cia.E.F.SãoPaulo-Goiaz(1911-1916)Cia.FerroviáriaSãoPaulo-Goiaz(1916-c.1945),"Linha-tronco SPGkm 19,302"
"Manduri,SP",03.10.1906,ATALIBALEONEL,E.F.Sorocabana(1906-1966),"Ramal de Pirajukm 395,819 (1960)"
"CasaBranca,SP",1877,ATERRADINHO,Cia.MogianadeEstradasdeFerro(1877-1886),Linha-tronco original- km ?
"Brotas,SP",1929,ATERRADO,Cia.PaulistadeEstradasdeFerro(1929-1971)FEPASA(1971-1998),"Ramal de Jaúkm 23,690Linha-tronco oestekm 198,060"
"Brotas,SP",01.07.1901,ATERRADO-VELHA,Cia.PaulistadeEstradasdeFerro(1901-1929),Ramal de Jaú km
"Atibaia,SP",13.08.1884,ATIBAIA,E.F.Bragantina(1884-1967),"Ramal de Piracaia- km 3,670"
"FlóridaPaulista,SP",c.1965,ATLÂNTICA,Cia.PaulistadeEstradasdeFerro(c.1965-1971)FEPASA(1971-1998),"Linha-tronco oeste km 633,741"
"Campinas,SP",11.1990,AURÉLIA,Fepasa(1990-1994),"VLT km 2,148"
"Descalvado,SP",15.01.1889,AURORA,E.F.Descalvadense(1889-1891)Cia.PaulistadeEstradasdeFerro(1891-1960),"Ramal Descalvadensekm 13,840"
"SãoPaulo,SP",17.10.2007,AUTÓDROMO,CPTM(2007-),"Ramal de Jurubatuba km 37,2"
"Avaí,SP",27.09.1906,AVAÍ(antigaJACUTINGA),E.F.NoroestedoBrasil(1906-1975)RFFSA(1975-1996),"Linha-troncokm 41,872 (1960)"
"Avanhandava,SP",16.02.1908,AVANHANDAVA(antigaMIGUELCALMON),E.F.NoroestedoBrasil(1908-1975)RFFSA(1975-1996),"Linha-troncokm 188,389 (1960)"
"Avaré,SP",16.05.1896,AVARÉ,Cia.UniãoSorocabanaeYtuana(1896-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1953),"Linha-tronco originalkm 384,699;             km 372,375 (1934) (*)"
"Avaré,SP",30.08.1953,AVARÉ-NOVA,E.F.Sorocabana(1953-1971)FEPASA(1971-1998),"Variante Botucatu-Bernardino de Campos            km 338,075 (1960)"
"Jaú,SP",15.11.1941,AVEMARIA,Cia.PaulistadeEstradasdeFerro(1941-1971)FEPASA(1971-1998),"Linha-tronco oeste km 284,934"
"Jaú,SP",1941,AYROSAGALVÃO,Cia.PaulistadeEstradasdeFerro(1941-1971)FEPASA(1971-1998),"Linha-tronco oestekm 291,908"
"Jaú,SP(vejaolocal)",25.03.1903,AYROZAGALVÃO(VELHA),Cia.PaulistadeEstradasdeFerro(1903-1941),"Ramal de Agudos originalkm 52,669"
"Viradouro,SP",1913,AZEVEDOMARQUES,E.F.SãoPaulo-Goiaz(1913-1927)Cia.PaulistadeEstradasdeFerro(1927-1966),"Ramal de Terra Roxakm 8,230"
"SãoCarlos,SP(vejaobairro)",01.04.1892,BABILÔNIA,Cia.PaulistadeEstradasdeFerro(1892-1962),"Ramal de Água Vermelha- km 18,619             (1938)"
"Iperó,SP",1928,BACAETAVA(NOVA),E.F.Sorocabana(1928-1971)FEPASA(1971-1998),"Linha-troncokm 133,932 (1931)"
"Iperó,SP",01.08.1880,BACAETAVA-VELHA,E.F.Sorocabana(1880-1892)Cia.UniãoSorocabanaeYtuana(1892-1905)E.F.Sorocabana(1905-1928),"Linha-tronco- km 142,535 (1920)"
"PereiraBarreto,SP",13.05.1910,BACURI,E.F.NoroestedoBrasil(1910-1961),"Linha-tronco originalkm 356,185Ramal de Lussanvirakm 75,805"
"Pirassununga,SP",26.11.1891,BAGUASSU,Cia.PaulistadeEstradasdeFerro(1891-1971)Fepasa(1971-1976),"Ramal de Santa Veridiana- km 12,774"
"SãoJoãodaBoaVista,SP",15.11.1910,BAIRROALEGRE,Cia.MogianadeEstradasdeFerro(1910-1971)Fepasa(1971-1998),"Ramal de Caldas- km 37,243 (1938)"
"Peruíbe,SP",n/d,BAIRRODOSPRADOS(PARADA),E.F.Sorocabana(n/d-1971)FEPASA(1971-1998),"Ramal de Juquiákm 168,782 (1986)"
"SantaCruzdasPalmeiras,SP",01.06.1913,BALDEAÇÃO,Cia.MogianadeEstradasdeFerro(1913-1967),"Linha-tronco originalkm 190,075 (1938)Ramal de Baldeação- km"
"PraiaGrande,SP",c.1946,BALNEÁRIOFLÓRIDA(antigaPARADADIAS),E.F.Sorocabana(c.1946-1971)Fepasa(1971-1998),"Ramal de Juquiákm 124,335"
"Bálsamo,SP",01.03.1941,BÁLSAMO,E.F.Araraquara(1941-1971)FEPASA(1971-1998),"Linha-troncokm 231,686 (1960)"
"FrancodaRocha,SP",01.09.1955,BALTAZARFIDÉLIS,E.F.Santos-Jundiaí(1955-1975)RFFSA(1975-1983)CBTU(1983-1992)CPTM(1992-),"Linha-troncokm 113,670 (1985)"
"Bananal,SP",24.12.1888,BANANAL,E.F.Bananal(1888-1918)E.F.CentraldoBrasil(1918-1931)E.F.OestedeMinas(1931)E.F.CentraldoBrasil(1931-1964),"E. F. Bananalkm 182,652 (1960)"
"PraiaGrande,SP",n/d,BANDEIRANTES,E.F.Sorocabana(?-1971)Fepasa(1971-1998),"Ramal de Juquiá- km 116,800 (1986)"
"Jaú,SP",15.11.1941,BANHARÃO,Cia.PaulistadeEstradasdeFerro(1941-1971)FEPASA(1971-1998),"Linha-tronco oestekm 268,418"
"MineirosdoTietê,SP",19.02.1887,BANHARÃO-VELHA,Cia.Rio-Clarense(1887-1888)RioClaroRailway(1888-1892)Cia.PaulistadeEstradasdeFerro(1892-1941),"Ramal de Jaú- km 94,043"
"Itapira,SP",19.09.1891,BARÃOATALIBANOGUEIRA,Cia.MogianadeEstradasdeFerro(1891-1971)FEPASA(1971-1990),"Ramal de Itapirakm 35,827 (1937)"
"Campinas,SP",18.09.1899,BARÃOGERALDO(antigaSANTAGENEBRA),Cia.CarrilFunilense(1899-1921)E.F.Sorocabana(1921-1960),"Ramal de Pádua Salles- km 9,434"
"Socorro,SP",21.04.1909,BARÃODEIBITINGA,Cia.MogianadeEstradasdeFerro(1909-1954),"Ramal de Socorro km 22,556 (1937)"
"Campinas,SP",11.1990,BARÃODEITAPURA,Fepasa(1990-1994),"VLT km 0,773"
"Piracicaba,SP",01.12.1913,BARÃODEREZENDE,SorocabanaRailway(1913-1919)E.F.Sorocabana(1919-1966),"Ramal de Piracicaba- km 240,561"
"Bariri,SP",01.01.1911,BARIRI,C.E.F.doDourado(1911-1949)Cia.PaulistadeEstradasdeFerro(1949-1966),"Ramal de Baririkm 82,148 (1929)"
"BarraBonita,SP",15.08.1929,BARRABONITA,E.F.BarraBonita(1929-1951)Cia.PaulistadeEstradasdeFerro(1951-1966),"E. F. Barra Bonita- km 12,504"
"SãoPaulo,SP",1902,BARRAFUNDA-SOROCABANA,Cia.UniãoSorocabanaeYtuana(1902-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-1988),"Linha-troncokm 2,790 (1931)"
"SãoPaulo,SP",19.05.1892,BARRAFUNDA-SPR/EFSJ,SãoPauloRailway(1892-1946)E.F.Santos-Jundiaí(1946-1975)RFFSA(1975-1983)CBTU(1983-1988)TremdePrata(1994-1998),"Linha-troncokm 81,510 (1935)"
"SãoPaulo,SP",05.11.1988,BARRAFUNDA-FEPASA,FEPASA(1988-1998)CPTM(1998-),Linha-tronco da ex-EFSkm
"Avaré,SP",01.11.1896,BARRAGRANDE,Cia.UniãoSorocabanaeYtuana(1896-1905)EstradadeFerroSorocabana(1905-1971)FEPASA(1971-1998),"Linha-troncokm 402,490 (1924) km 390,113             (1934); km 352,886 (1960) (*)"
"RibeirãoPreto,SP",01.06.1900,BARRACÃO,Cia.MogianadeEstradasdeFerro(1900-1971)FEPASA(1971-1998),"Linha-tronco originalkm 314,264"
"SãoPaulo,SP",28.09.1957,BARRAGEM,EstradadeFerroSorocabana(1957-1971)FEPASA(1971-c.1979),"Ramal de Jurubatubakm 60,300"
"BarraBonita,SP",15.08.1929,BARREIRINHO,E.F.BarraBonita(1929-1951)Cia.PaulistadeEstradasdeFerro(1951-1957),"E. F. Barra Bonita km 18,100Ramal de Barra Bonita km 18,100"
"Barretos,SP",25.05.1909,BARRETOS,Cia.PaulistadeEstradasdeFerro(1909-1971)FEPASA(1971-1998),"Linha-troncokm 452,930 (1958)"
"Barretos,SP",08.03.2002,BARRETOS-NOVA,Ferroban(2002-2005),variante de Barretos km
"Barrinha,SP",01.02.1903,BARRINHA,Cia.PaulistadeEstradasdeFerro(1903-1971)FEPASA(1971-1998),"Linha-tronco km 336,841 (1958)"
"Rancharia,SP",10.09.1916,BARTIRA,SorocabanaRailway(1916-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-1998),"Linha-tronco originalkm 730,976 (1924);             km 717,987 (1931) (*); km 670,054 (1960) (**)"
,10.07.1875,"BARUERIMunicípiosdeParnahyba(1875-1944);SantanadeParnaíba(1944-1949);Barueri,SP(1949-)",E.F.Sorocabana(1875-1892)Cia.UniãoSorocabanaeYtuana(1892-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-1994)CPTM(1994-),"Linha-troncokm 26,950 (1931)"
"Piratininga,SP",25.01.1905,BATALHA,Cia.PaulistadeEstradasdeFerro(1905-1966),"Ramal de Agudos original km 113,547"
"Batatais,SP",03.10.1886 (?),BATATAIS,Cia.MogianadeEstradasdeFerro(1886-1971)FEPASA(1971-c.1988),"Linha do Rio Grandekm 359,945             (1938)"
"Piracaia,SP",n/d,BATATUBA,E.F.Bragantina(n/d-1967),"Ramal de Piracaiakm 51,590 (1960)"
"Óleo,SP",03.04.1908,BATISTABOTELHO,E.F.Sorocabana(1908-1971)FEPASA(1971-1998),"Linha-troncokm 451,483 (1924);             km 438,785 (1934); km 394,248 (1960) (*)"
"RioClaro,SP",01.06.1916,BATOVI,Cia.PaulistadeEstradasdeFerro(1916-1971)FEPASA(1971-1980),"Linha-troncokm 143,135 (1958)"
"RioClaro,SP",1976,BATOVI-NOVA(POSTODOKM139),FEPASA(1980-1998),"variante Santa Gertrudes-Itirapina            km 138,944 (1988)"
"Bauru,SP",01.09.1906,BAURU,E.F.NoroestedoBrasil(1906-1975)RFFSA(1975-1996),Linha-tronco- km 0
